Categoría,Material,Enlace
Plásticos Comerciales,Surlyn,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/commercial%20plastics/Surlyn%20A-1601/Smith.yml
Exotico,Metamaterial,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/exotic/metamaterials/Valentine.yml
Combustible,Biodiesel,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/fuel/biodisel/Wang-20C.yml
Mezclas,Aire,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/mixed%20gases/air/Mathar-1.3.yml
Mezclas,PBDBT-ITIC,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/mixed%20organic/PBDBT-ITIC/Kerremans.yml
Mezclas,PEDOT,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/mixed%20organic/PEDOT-PSS/Chen.yml
Adhesivos Ópticos,Loctite,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/optical%20adhesives/Loctite-3526/Iezzi.yml
Adhesivos Ópticos,NOA1348,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/optical%20adhesives/NOA-1348/Iezzi.yml
Adhesivos Ópticos,NOA61,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/optical%20adhesives/NOA-61/Joseph.yml
Adhesivos Ópticos,NOA61,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/optical%20adhesives/NOA-61/Joseph.yml
